puuid,leaguePoints
NyzbeogybDoag1KkM3VrciMIp7eygcUv_nGpLJYNmwE4RiA0YkPvNG-hyEe3CNYi8JoQcLnC1TBQ4A,776
-r123JwQjrsi7kO1iaPXnHcu4a47WS8xhOQ5MicVPSN_za5e-leGiUAC869NvwO7fl4HakYqYSFp3Q,776
X5OXQNPHUQL0q4NKEJZRgmwnPIVR2JjZloa4vDw0CQHY7juGRsQ1OxhRmVm7kyurdj8AgojM5t2Vew,775
IMzsnnwyj9zKy7gBUyioaE-cjuJLI06331ExyXh1yM_xbrOFyh0DLycPacU5y2IKfqHYROrrzFIEDg,775
uMLdIXuzKI0P9XX1eipEqcVlgMr0zmT9yV5LpN_KH2FtIbSnKRdLlF87MyIo_IxcSpgtFD_3Fne-Fg,775
cZY3HalZ-jCAvcO7rbq_l_89xyeL78eZdJ0WwtpHUYWWrIrmaNUBxRH2TX1USzC_3pclTkFeWa3rnQ,775
rO0dY4R24FEyeqaGOS4co7Ze1cD7gRMQuYBiZ-WpJWmv78OvRxX7wWSdNOq_M3N80fBnnL8vW8fWjA,774
ynxVaGX1LxYQ0dHAj58dDfMTpVxSpLB7e4S3MvL5EhKCseSPDtQMwk84aLkwTFCI_ay3YGMDIkexhg,774
PrOkYi9h8KAhOgpdlEcKJw3hBqCGJBT8DwSqgrX5ydMlH_IxGwYFMjWpI66gIzxOL6Wz67lRlcrZAw,773
DdncvXDaOjWWHmiQiv3PXQdWuuriLNHzlD0APTbhOv8BpWHh3ujkFBw6fL3gG3fqD2UlbCNKPnl_mQ,772
QRh76UgtKzaT5_USOkdZIQAuX6txEv8vTi7Pt-Rnwjg2BIIwjiMum-GIlAARBikImajHo7B9fdgmkw,772
3OL7MUmoGugsZXC57lYvffc7XzfM7gh-aaLoYjquJesCV0nJLnNXYJ9oeC7GfKBaqzmxbUysPMskmA,772
CyfkUb_wqshMDmeuYKk9k7gf9vVZMLQPyjxuf2FoTajezaO8gp6hlaQWdZTaK8eWifqC4i5NNYcrag,772
__FlRRbPuCRqXt8UzpULtEuMehtZ_RwIRBfns3KHDE0VoUnQ7DIBEKzYdShfha40GiQ2NqeCRIppRQ,771
6UCRVnCaWSVZw0nX3LkkfqnRH7SEfLRL7r5Z19SCnjtdLLsvHqJwmFCmvTYibq9TkXNZ8gYejB23Aw,770
8_2kTRR8-Y8HNz8DDZXulDWTc69NVOAbvSEvWiG4_oM-aq61DNjZucgEebMF-v2QFOMU2n5tDRVP_Q,769
6TBkG1wc1VIOQ4CKYT52JF-aRcUhgpcw34jM2eZOXp06rKRxhUKJK_TuBv5YvuKWhpppCMitIjiRSw,768
ZNoHbgwdWZh20AJEs62bNbsxf9hsSgENs7hWCWlkPJAXI6ArwUsZyw_QyorDuDR1iYvNc-2pv4vfkg,768
PE04pLWhzoZ0YzF9WhEkdQEyjC-ff-nYif5TkZLgLNykUY7iWYMVf4BXZb1WlzgyilgxtA5pP6yrGQ,767
ZravnbPajRTmGLvZCabzbLOB60bmbz97bwt-ffJgwfaqHBgGaFDwL_DugaYgez60LUpjOuoNbIUYoA,767
lToe9XB_yjl4acC_GU1D-8vvKhBbNvXJd5sJ8-PWEXNWG-278g9UZ42jWY3kWTOmvghOVBBK3Mn6TA,767
b0Jpr2Z71OLpSvzMcvoFplDeeJkGuxG13H25mTImiXJBE1ozO0R7dPRqriT1o0nmwn2h-pIQN28E3A,766
WOG9cIO5emFEjRbXFZuAKK2H77ei87PlNbPLBmqYdO0MhrwFZGGmXfQWR-ffpL_vjhV0NYDD5DW5sA,766
C8P19mq7WEtPgY54SQ3AS9rmBdDUui8_BzY1zkaDarTxyRQJI6eL2Cn3iuxxuXmuGuSX-kLK27oAgg,766
77Oo7G7mLuqJHv6Ayuao2Y5GMAnngIzhK-7KaQQyXiAxrke9TdTKFwjTKpFqZBB-MCuNEmdO7Zb8JQ,764
T2PSD9ABRt_SBtif1X8iPZ0SqIvYeRPwApYVT-lpgYOngF2ikgmkHX30uiKFgbUHrbtOkuY-am1cLg,764
qgACHWtaka1P_Z2VmeU4SZEBzIYkxBNcs_Njdud2AC1l0smAx8f1km9OPpDzxKfPLpglmm_XqAD0zg,764
9d8JzOMhgUxRRBVDbXzGLDpAkGYxgt3gQp8EKqzmmAK-LJPCGmZ759gBj9n5EMoJnHuEYfq03b821g,763
imCwuKurQrbxchJKfCcdl2lCy9cU9QPZDuAHJX9Mf9BP2WMGrRPuHNpcOJxRda0gTQSxp-3tLDwSsw,763
bV-m4TqQ_1fya8yzLkd1q0a2-x5C1xPl3u8uFbj9VI0QmF5UEYTv8NJPx0J3jRa7tVHzldr96jvLHA,763
QHtbOdlofyOHs9pddkDnupYSD6JQPrKSZJDBRu_JmBtH3n9zGxYYNYNTlIa9KMwHmEvJnqPIftNW7Q,763
EdDL43L9nbp4xXIASgX6SMoHSIX02npoyNlZYipMo77AFa9nw-yne-uCtcOpXoPkguNj4h1WaACBJg,762
udPrhwjXEFhc4lowDGK5fKzoZBM2ShqykQp455gPWwP30ruwvgTzyPE5BopUWiRSYCp5iX4GE7cmKw,762
-Y4r00xHLCWamQOxCOBCNKRF-OkW35R7dO4ZdqGtd9I9g0wfoERih9aEfd14SsKb1WLRJIGfQiAFjA,762
q_x1wZUy-0GPS21137WxY3eHQzUxQifxEfwwn8gewslX8LR-5IdeP0UdixCuUxprXYichXUyD9lszg,761
o16u_gg4nAH-OErdg2lCs6mSQMTtpBSsv2Us7UNMlgCxg3yG2iBFYZngD_wIqFZgnHkf6uZmHpp8lA,760
qWxiyg8tFGeBLUOzGLsn6LslejRjHJ1y1iXfEBIegIvc4N_tNsh22DIb_ePHRFLMeVX8peuZ5MZTxw,760
