puuid,leaguePoints
Av03AlCTUzy-HPhYyN6VijRnjwx4HpuX8l58pO9p-YstzDJvb1KUKkB2tRqvxt7K8wzlyaaLyI_LWA,1038
UfWfOPfJyJ09qeX24vxXWpOlt9kZPM-1qzgPMMc--2xRQdvyT1Rdrex0jw-1xXv1hqiylp75nlj-Hg,1038
irTJZNGXq2ZQ-tSFBnu--0xPOZ5V0ZXPqIFqCK5liIS77jQRnnQPgXbDiaav-mFFajgW1XCy1ujHbw,1038
Qtq_Dlk2nMANXCAjbX4g0TRaYIw6WCII1qt34Mp-8IDPMAObkNLACR6pq1lR9Az8Trl7Fx-lvaRAlA,1037
MI9gaP5K3bd7dqYzw0YT5KzwsIbKUApvBJPYx-YXDqlxLRAXVXLzkGMafyR9rBgOE_5VQqgys-ho2A,1036
UGarg-fal6qNDunAjpAkK8scrxxkTqWVs0yO9RnA5AVlRsGb7jYoV7y1cserPOm9Xm5KbFt34tJlZA,1036
ccj2NBoy0kRB-ICFYD1YyLbemFgt5EzRnyFtwPzsyoeFvIsCDJKXycafd1o2bTHe2R1mWcy3TtzH-g,1036
iT3btWe-RGjoLCOK058x6Je5kLxpjGK1hqlZy9G2mbCl4J6EpAbpK9WWmcqjnZQpk8ddRzR2wtVyBg,1036
5hnLvNR99oPaMuXYG7Ol7yBLTMSdqkzI9JPH7kMJJNR64lQCGEfrKA06_BPh127yYqVNvPhQRRtSsA,1035
u14ordJZH5v2M-fLAqVyqYvUW5YaoPBYyYRQOqhKbIC4qdUN9w_yQRyGgGMmpMCO9PCR_nbq3UshcA,1034
iSd4Xb_jE7u11lJ-3gnc2CMlQLGA7IAAvYjEvfF7zlJvKwxIRS3z9dSBQXTe-S2TH8uH-dlBHM82kQ,1034
GlP-Bw9p5aEjf9v1YAIaxS0IIaT_-zy10ZiP2UKOkShe_laA5iAj7DhtHokpGbAwUqIo3d36MAMM7A,1033
4ZfY_LBdIAlCY7u6U3OC6dcCBgM0fW21W5XhUXqzMnGIwBn_YNWf-QwfjaZveQB4jGnWEM6bYNPSZQ,1033
f8-cMIeo8Df0HHzIJeOkPHtwstxM4hxU_H-TXJV98kQhS2nLHTxhdvej4oKU6ldpe9PtGaGOmzAURg,1030
_xlWlSEKMj4oWUYEcyCwecY71rNHCWdgFf-ziEdQweeHxIO8MMU3a4CHi04JkfyznKFPM50xPAP1bA,1030
6DY8QQSofWz-SgS-VbjN_cX_t-XhdeaDOzpzDnz0aY8dzHnsXmiomfQEPAhKOWDMub--x01ycNlomw,1029
Foe86i4WOZtWgPJaU97ytP1xUxtZFYDjNC4cDNRYz24z8NJeZPPJJfXghl3H_uzttGGdUHuUmslkAA,1029
AOFoW_akGVtoB0blQodNN-ZfFU9hpCzLX7lvnZ3VntiG-9cQ9PRC1I1Sf1oLuhU-zX0mwQbIX7RJOg,1028
mGfXjtar3kwbCL-T_U0uBrv64WycOoqN7ZS-zdNrmuuP-G4JiRQ0xvBKJZnVFcIjknKK10XiqaPk4A,1028
IaEb7yB5AhWm2WqveXqn0nqJ8zfMoswkp1WuggrshIIGEwWWp-LAaYERxd2H_Cpqu24PSO382xImEg,1027
J_W94n4qCBorDIILl2lA0htr0rbwQ4jYvT3VrIfc8NSZ-Ubo9ht3GZlapV8LI8ITuqMbSz2rfUv38A,1027
iVcJZRORVRkGtyT0BG6YJxIowbiRrmRpkMBLCBCkkMrYlfjwG_crrgCbhjrIKxuX05vFIxVssFIgiw,1026
p8azqZIfeukwgWCX2kGMvfFSIOQiOTBBs2eeUMefF9bgdbul3bqNBQupZwPCogLLyUzkeMZohNllZg,1026
5QaghaABLzERPclbdRweZcIr0ZEtGZZ4tS7-yUmQU3vJ7z6lUcIZkPyC8q5oeexshN5Ff7nrOkVUuw,1022
TgYjTqtJmlx2nNIAA40kygZRRndN5HA7eUNuESJTbzregMm-v7XDUg989mANL1bFw6BGOwORfJDdWg,1022
XM-j9JUZUFAHy-iG31EazySHA1PbaAOblwXT4XoVLuwVkIzAq-hwRiTRCSS5QyXbUj5Sw0RU4b4MCw,1021
6CybCyaPIcVhdjASBFhnaTd_lr5ziVQ6EMwpFiVP1UHVE24I7Fs2_2Uay-qRmjcfkK8xdu5lfJooCg,1020
C2DKdIYOeKbnXaahxieEfXSzqR88QZkdpnTrD9-atEWM1DRNYC_wizlfSyV75AZ-1XYyopUhOQth0g,1019
LWayJKThgysMU7tBRCMqky3vQEuICbHSoLayJvYNRI_N0JLsw3L8jhXEJNeK85TUqkE-VsOqcjFS0w,1019
