,puuid,leaguePoints
117,GfBXztZJl47oXy7BwNa_0KAdUbLCoQBFFkPWt-AHVkORDaCbS8TCo5vIxVJ7rcKFfDy8RIiAuH6Fjw,1238
118,aAiiBcFgrYUlcDUwVKDx-FMXtuUY4iHtRqcjwF-VIxH1NEHRNDrC6KGsw4XWNhJ_e1Q80k_RD3TZsQ,1234
119,x0TCgb5cr31s_eb28Dtl7SFL2mfLdOzmlFaVyAkiNCCK9bn029TpPAOV_6Ne1XlHdTUebmYXqFY3SA,1234
120,q8ZYwEZUEPVs0Zr9gVA9Ry2QAgWM-xa1bbqfkxJw1NuRhiU5pMCOK6ITR8HVl6FZaqrnpLdKZ8ukLQ,1233
121,SgsYg2d3n-AUBmmAeioMohurdZAQRLKwHIvclwJgKEutlQIZO683M6maI9wzhxZgz3vJ-ebFgZij5w,1230
122,O_GXJOPFpy0ICR0pVMCdxhpMniY41hEn5q_c1fr247Gc6Uhn6_CG_HAiSxwKYHCsFHdV652JO6pMjw,1226
123,riMeua8JwN0D7Qc7G1mIX9JIRW_XERh6RiP5KdPkXFBnWvG8WnwUuzOB-cJiMDH09YErSuxB_sT8Vw,1226
124,yfKEHS6H9OBTgQwQb2qGRb6NLHMKhtimpCBYlkQqAmV55ydBY2q81IKYgoPfBGyghnaCz2dIdofPsA,1226
125,lSFkOx9rFTwwzGd6A6j4eXuHLjgY_eDBYonX0Te-tPAXbmeeJVkcbtcI6RZZgYZGSrnSQ_-zfKhazQ,1223
126,RXN0N9eS01nKA_l4iHUZfdF9ncrMmwJvDiBUajeDObttuR_aynUMhI702QO6mW_Ukgnvm2PZqyOqzw,1222
127,hpP8iaIznjR1y27Iw_ytNaPwzmT20nWprCgxX4_D2TB_CxD3_La0hL1ffkfbNsShADDzo5GiXpUOXQ,1221
128,ILNqHwKt8-zjM3orSTmAhoZ62xBehzwn1v3_g-AEUTEYWhF0kgHDyrnyAlXvfDLt0DMDgePbfZwpnw,1221
129,zRb09LLDIlALgmrO7AI2V52lCNLf0K15YhEKhb951dx4DgqgPrXZqHF9PxBw0JzOcVS3og8iTy6pbw,1221
130,psjxh_Sazi5gVmaCTJ1wBDjny3K6kKR7uqkVTYmE2dVhv65riHMR7R6-WSIJyEeRCekVjiWkwEDyoQ,1221
131,PpGHszGC9n8WLMht8kkflECfCVb4pmLW9GsIZEvYF86iDtAIwBxE83jxDq7x9W7APdL6EI7Str3UDg,1219
132,EHCM7Y7ZaC2d3QZDZMd01lfxC6DVtjflOtzp0jeZphUD28WD_n6T9vU17YxG25LL3TW8QSRSScJO5w,1218
133,z40XDRZEve5vWiICsAiwZp6GNUAv1epoISaxDbpeYzlTcRIM95eRybwjEQAwX3OKD4jALNXJ7wMz1A,1218
134,FX-e1ugFgBi2uXiX0GBMwR1CRRVRfTDZRb9ad3EIpeRbqrpy9YlWHvOcngY0ssb8ghUVrVxz4baLMg,1218
135,nPf0jWU89UEIg6-YZwy17xHRNtmth7Y_QSyJhedq67FqOjhXfWEyiel6h9xUYMuWyIi7F-3nmb1T1w,1217
136,ozWmYj34LwFyXrJj4gVAFSlD6IjeUubZjJ8jXENtae69oC51TNVOatlICL266gqkLLndy0MOUfGD5w,1215
137,Pv4PAu3hp42N_eVKMu_RvIJxi9uOIaOdl7UrJcSGghlGsYmVuALTynQMIka86IfMdn6a-2Z1L1L8HQ,1215
138,uO3mdIG1O5AodZw0tXjjydG4gafN64daEgH56LSON9hfyAzn5p36MrffpAmIkTknbEBB_LlNgPLZng,1214
139,2ZCQ8qfKSAtHWER5fRzRWpQHBg9IWiDXHhvXmWDZj4BgGEXs5peNX1J6Scv3JreP2nNUIzuO7KRVTQ,1214
140,4Km6r8FoDz0lpc4YOX0D1MBSraxO6Tw5a2xcmvL4HCWIgPca60PR_Pc1VB3haU3UcaS5GqRA1jrwFg,1213
141,Dr1SAP-jyhjahw357ZsDbFZi94DtAVF07CHhZlrS4sNZQLIMX5ThkQghY4Po3pTgZd6VCUviVoZ4IA,1212
142,FaViTXzOdZM7UN6umMrxi3XmtjX4IxN6yYQxWqX9x-5wEwBIPjbb5Oe-zfv3Vnw9_PTb7HlEidhk-A,1212
143,4xqhUufIoXeBtMVpLk402FiVCX768h8VE_PDmFJQcWHfZvn3W-dH8AeN3BGrCI9pT8VFkmhkvtqZPQ,1212
144,UGBcsmoKcdxOlhS9uQW5QC7P5N8PSFP4vHvjkYl94xopZG6YeM_91KTfvILza5Z95bKr-JeEp4E9NQ,1209
145,VoQX_h2tXpfzfMannsCvShSk9-tVsy1kemVlBzwqs8cYFcQSxfbzuma9VTHeJu_w2041ua6BnW8Ocg,1209
146,uyhZexa2rq5gbRteh0BZQm7kZ_LuhgXaS-4p039C-T-E7RQHkKQHcUwZQpDRWT4sPi7UWdad1Ocwyw,1209
147,H_IDZUMz9fvavdwW9RRH81d0QSLphjx_xMruapu0D37INff64amcX_KisnkkCkE4Gy517hof1xyAyA,1208
148,XS--gv-QceptzaFNr7bS7Wyx9de91ys04631pGXWCCxu0URmXNawsBlJVHn6wjdH4ztABKR_yMMxJA,1207
149,MwTpSRGojOz_q3JTbge3QZyaNcsMVqn0NJeHc3iegfbMK2D_69Uptykd2v9BDMuOyYQqpNzx-C9lzw,1207
150,zu5Y0THZCIOQ0Nx3gwCwIZoyEKbkhmkIl0ThidVrt6vvhggaxGzPmzvJlWncF1hkWv87uwKx-iAYyQ,1207
151,1fBoCZ42ij7Ab_0JnemI_imIlG2gwFGWnoFW9p1vud9q2XJUqxNe3wOLOOyVMafgja8GTiE2UT3ZfA,1206
152,nQyglaUx3zfMpVE_oEDJyA1T9YfutYskBtnaCYFBX8PK-YT0SmKMEt9SZus7DW-mUITQEtXjNTWUsQ,1206
153,wL3SW-PeLAqLTtBVAU2LAE_mIzWnncULftI0Cbkr92NAwDRX68iU_3rYp9Y8aNJ7VP9h3IFmKCt4fQ,1205
154,tcsT1Qdz8bHfHint6Tx289uDcAgHbUj_c9Wit-IGDekLj2RylzAoUDjA_qDGVdDoOnLbWx_LB-VBVQ,1204
155,kdYdZgQFffBMTrcSU6uCDOifrhKfsT86tbvK44Xh1rcJ7O4aD7UAjUWkewVyvNf9i4TU5HMBcktdYQ,1204
156,RJ81AQHRDZ_K4ZfhV8-GgcSlbZL7nQxTDivAldjtNBp0J-aBj4Ah7zfTS9bZKxUFLfsyiXXzz14WuQ,1201
157,vmlqYT4MzBk0BgbP0ptJP9oZKu4XnsBYDY-_qRGRbXYXdP-zJlWgXxxhUV4tQ12UZPY7l1q-9IFIgQ,1200
158,gM2RUaqJFydbg7a5JA4Q7ko7b3JwOaGV9-oxAyFmI8BAmnC0n85o_zyCaMPXKlVJC7qEuthw_QGsmQ,1199
159,nCqrdDiaFDZhWXfH4oQNHB6dUPth9ESCzmjDAcJM4MyWpau9BGULLFh7YOvBNR3pnd0UL9uu5xhkeA,1199
160,QY0fmJi5YQYhSs1eMkXU4H_YVN6ekkOPVPLfYwu_Fisbkzu2ibDjo3IIY2_Duk3yLKY0Aj-_VftIlg,1197
161,bfvSCPLsiGkxfrYCmi_NyhQhqBTH-cDBGV2qa2fC-h1yEF2wjrwr7RQwbRDK6EhM1dgzWbyEFw9QoA,1197
162,FtkcVx5ydl8xlJa5Tl1zZKup1nTazQWwGiNufITCEqT07ET3P9GuxSxROyDe-dde4Hy9PSxak5keqw,1196
163,T5zkqT1BzxyI15cR1ZWrP6JTrDPdUpmsLaRcXS1qiSkwfSp8aF1U_wEwe5UWwmWb1c80S_shXBLyrQ,1195
164,0tdRgQxo-UO_ovOOcXrnkRZRuRf480e-jNvaUHlLIBN8EVuwq7XFM2BwbA5Vd0f26YLucdgNfPThZg,1194
165,3CLaudSjs8MnkexoKMMkFaxmO8FFEONxIBE5UtkmktgxkeyQQsqnCGFcUeoh5EQ6YKfXQUQcEFhwKQ,1193
166,7IeF87L0RGNA2p8LWH9rX7e7S9RLtP1ecbcgGWegvTmcTbAdF-yVL1lJk7olu1E0XMr4LGiVPu0HVg,1193
167,TdN6ENHHvL0Krs3WttrgCFF_7VHSZYodm2fjP4Dr51Fv4l0NIUuj-nNpwZqlbfPl0SvSDKPb5OD-5A,1193
168,j0533H0B86Aap_oncLbR_hSePY36W_IpMsFO2PWYAHhYXc5_qW9_o2mORlWNVMphg9-m18sIiW7ajw,1192
169,er97XqqguReZ4KQz6GNnYN2TIl7zqWy3QeQTL6YkFv-v3rIq5tl1os2vOXo377W6GhiOAwLWBDCacg,1192
170,goUYDZw47oXfVG89HsxDuzH2NLclkVGFSbc6QafiIHzS0wMbw6aVjHRngaSiHT5uPnGeJ7DsTcJwWQ,1192
171,eiMOZ_UkSzn5nAYTBTMY-4DSwhj3litNi_zw1DRKXUtdlwPJb4968EIXoevWG-tcgajIqvWSPxfPtg,1192
172,sUhjL_HDK0iCQGKYXoEVSNpvqaIpjg34BkudJQDasOdvLEInQ8oLxwzc4VV36R2Fus5-PH3x4Sxp3w,1192
