puuid,leaguePoints,tier
CXsi-s4DlsO8ZXE_OHaHXzlMvKgqEmxhQmCDLux5RqpvLuxkb-wg4EgkPRlTes-EE_oG6BEb2xiwcA,1256,Challenger
b67QHEi9PD1Sk_WupqDuIiZLZEplnaDlXwEDvADxfEqAETkPgcaYaYRTNeD6yJ0116t_1zEcxKwo7g,1255,Challenger
iDEnbISC9X47SBeBH6nUircKYCjvgDc5L2TvQVU3klvTIh9X4iUSyxU3BmQqjKBNSXIYtj2Rw-SmFA,1251,Challenger
BQZ5B8fPhOoyEXZxTZh5_K6L8lW4O40IcKrAmv9ccg0gMILhufVsUVd0Xy70A-0D1380t5CbaE5jmQ,1251,Challenger
txk53m4WRG2uKG4RLCTnR99MoO0ozJBJo9lWzhYrH6VghBz-k7rg6GyhW6wyzF0_EqPCeb5TCqDKxw,1249,Challenger
pgKuXV6TJHM_9RbpJof5s5KfPWe5C-6jVGEEaIRiK7K3i_zA626GELHaFlWt6nvKKj5lz3ZQCPU3KA,1249,Challenger
5HQqD5R3bvPFozy5vxDUiO4Iw3VwxLg9adl3okvYCt-fRuuDuubAGDEQd2GfRuRhnIP7a3TMg-Kxyw,1247,Challenger
-l1fwT7-xcChK0Eq0lqmCUNVDTJvfNvI_uuUDxRuAA2PPpMdfXbIltvxmR9Tah1GI-1Jnf6HAJwYDg,1246,Challenger
MC2wvDDgLI68e6vxGeN24h2aaeyf0z1ZPWIi09LTa2JVhQ7u9CDn74wImnqbootLvR_SGpgZgwqHrQ,1246,Challenger
GB4bfS4UeOn6sl39g6OUl8supAwK48rwR7iJ015bhv4fr9fUkqbqwy6xPvehXkOMp3BxfqXYYBE_ZA,1245,Challenger
aevIvYZc7wXKnilYYvSs1NEo3I_kV0Q7t2yJNv9Rn6a9ZuM1Uw-IuqWey414SpoDh659-igDo8eV2w,1244,Challenger
dXvBrC30yN3ilxlWeoP9Y5kFSuALN1RxgZkyJdfl1yuc6WseA3Fwxes0BV1bY1brAVGw7NcePBBOsQ,1241,Challenger
5WWUSI14x6w0lBsBIjyt-e0qovuZke8QwoEhOVa7PsK6o24CiRnpa1YqYZEeZvpxA1AhE-q2wo9UhA,1241,Challenger
tuZ1NdhDnKtxZTq8zN7zIUFNsALoOFUKu2qRyiAFbm0nOz43YCcYFeEjRqMpIvpux3lv0WNhWHp65Q,1240,Challenger
RhDMade7FfvW5vLBWiffKYMu_RS14ymhx4owHQtc89amD0Z8auGHx6sJMNFxSZalu-7xhjQtpUZ3rQ,1240,Challenger
dcHUc_3SO-VOPrx6vJY0gUVmyJdhNHBWb9Syt00hLqQUuzr6YUq1ntWvKXBojm0JvBTuKin7RprriQ,1239,Challenger
62pgNsnRHkSQafMTHzIuifsGOVqBCoiERczXx4BHkeB68bzFdqys-zDwbQB4oT3kP2cAGNN0_uDdGw,1238,Challenger
GfBXztZJl47oXy7BwNa_0KAdUbLCoQBFFkPWt-AHVkORDaCbS8TCo5vIxVJ7rcKFfDy8RIiAuH6Fjw,1238,Challenger
1zCgWJLCJcm1sbeFxotB_2-QOkNeDEwlZoNSXZXmJZkmMlEoWfzGUProhv1FGCzDcAiypW91_f1FwA,1238,Challenger
TQXcIPQP-qz_0HZYJpdsdfTrgPTTynUpMnZWkGP0mJLcjn1UbSnjfdXE1l-RtFv0f1xzZlaCDnFOtA,1238,Challenger
aAiiBcFgrYUlcDUwVKDx-FMXtuUY4iHtRqcjwF-VIxH1NEHRNDrC6KGsw4XWNhJ_e1Q80k_RD3TZsQ,1234,Challenger
d0Ra7Arr9MwuD6d9jfv5AI-92tXZlBm1P5c0B57NXCYiccdsNNtpkjwY6DFzDVfKTFsrnrh9qUgYag,1233,Challenger
3KguYfu0NWRrrE8JKU79CahyVmb5lDTabLe37DxoEGAttYh1Gn7jOglR1VKzG8XSjCCWJiGEDzd3ew,1233,Challenger
ktlPfQbpU-bXpif1u5PieWYbdzY2blqd6QmIxBwV5v-ijvqSJCR2ccJiPrIw8NMwKvz9Ng4t8XNRfw,1229,Challenger
zbFzd5oEvmajt2q6YF4R_uNnqc9COisfe1f32y0ysTsQ1cUj-D63llN1qEtz-OniDBSkCfdlJ5cIqw,1228,Challenger
riMeua8JwN0D7Qc7G1mIX9JIRW_XERh6RiP5KdPkXFBnWvG8WnwUuzOB-cJiMDH09YErSuxB_sT8Vw,1226,Challenger
kQdGGRsZlmZa6k_Y3Y2ms0TKNqN4uWZGMUAHqWeK03A77ODW7ElSLRd501rG9Ef2f5hQp2eh9bBJVQ,1223,Challenger
